Datum	Lokacija	Organizator / Izvođač	Aktivnost (Naziv i kratak opis događaja)	Linkovi	Kategorija
12/8/2010	foyer HNK Zadar 	Milan Drača-Lalo, zadarski fotograf i pjesnik	MULTIMEDIJALNI CIKLUS 'PRIČE IZ ZODIACA'                                Koncem 2010 godine i početkom nove 2011, Milan Drača-Lalo, zadarski fotograf i pjesnik, multimedijalnim ciklusom „Priče iz Zodiaca“ ispričao je jednu fotografsku priču  o Zodiacu i njegovim gostima i konobarima, izloživši je zajedno sa svojim pjesmama … Milan Drača-Lalo načinio je i sasvim osobnu biografiju svakog od nas. Uspjelo mu je, jednim nizom od dvanaest slika, ispričati priču koja je, istovremeno, opća i kolektivna, ali i vrlo osobna i duboko intimna… u gradu u kojem trošimo naše živote, Zodiac je svačije ogledalo.	http://www.ezadar.hr/clanak/veceras-otvorenje-izlozbe-milana-drace-lale-price-iz-zodiaca http://www.zadarskilist.hr/clanci/08122010/price-iz--zodiaca http://www.ezadar.hr/clanak/kako-se-zodiac-preselio-u-predvorje-hnk-zadar http://www.zadarskilist.hr/clanci/11012011/kafic-iza-kojeg-stoji-prica http://057info.hr/kultura/2010-12-08/zadarski-alternativci-uhvaceni-u-vremenu 	Fotografija / Mutlimedija
20.11.2011.	Ispred bivšeg kina Pobjeda 	Zadarski plesni ansambl	PLESNI PERFORMANS "ARTIKULTURA NE STANUJE OVDJE"                        U nastojanju da ukažu na nezavidan položaj plesne kulture u Zadru, mlade članice Zadarskog plesnog ansambla predvođene svojim voditeljicama Sanjom Petrovski i Stošijom Zrinski u subotu su u okviru "Noći kazališta" ispred bivšeg kina Pobjeda izvele plesni performans "Artikultura više ne stanuje ovdje"	http://www.zadarskilist.hr/clanci/22112010/minuta-sutnje-za-artikulturu-koja-vise-ne-stanuje-ovdje http://www.zadarskilist.hr/clanci/30112010/petrovski-kultura-vise-ne-stanuje-ovdje http://www.ezadar.hr/clanak/neka-nama-kulture-pregled-dogadanja-u-2010-godini 	Performans            (Plesni performans) 
02. – 07.01.2011	Plesna dvorana ZPA na Relji (Ulica kralja Držislava 10)	Zadarski plesni ansambl	ZIMSKA PLESNA RADIONICA                                                              Zadarski plesni ansambl se nije dao obeshrabriti besramnim gašenjem Artikulture, nastavio je već početkom siječnja s radionicom Matea Bilosnić i Josipa Štulić studentice plesne akademije u Salzburgu SEAD (Salzburg Experimental Academy of Dance) cilj upoznati zadarske plesače sa inovacijama i novim plesnim tehnikama koje se razvijaju širom svijeta.	http://www.ezadar.hr/clanak/zimska-plesna-radionica-od-2-do-7-sijecnja	Ples                            (plesna radionica)
14.01.2011.	Kazalište lutaka Jazine	Kazališna udruga 'Igrajmo se'	PREDSTAVA SNJEGULJICA ZA 10 GODINA UDRUGE 'IGRAJMO SE' Povodom proslave desete godišnjice postojanja udruga Igrajmo se već nekoliko mjeseci održavaju projekt „Ja znam što je kazalište“ u sklopu kojeg su odigrali „Snjeguljicu“ i „Romea i Juliju“. Odigrat će još i „Slijepe ulice“ i „Jednostavno (nesretni)“. Snjeguljica je prva je u nizu predstava. Adaptaciju teksta/režiju potpisuje Matija Šango-Šimurina, a glumci su polaznici osnovnoškolskog uzrasta udruge.	http://www.ezadar.hr/clanak/snjeguljica-za-deset-godina-udruge-igrajmo-se http://www.057info.hr/kultura/2011-01-03/snjegulica-u-izvedbi-igrajmo-se-daje-se-u-jazinama http://www.zadarskilist.hr/clanci/15012011/snjeguljica-obara-sve-rekorde http://www.zadarskilist.hr/clanci/26032011/na-tragu-kazalista-mladih http://www.zadarskilist.hr/clanci/11012011/princip-i-svrha-rada-je-da-se-edukacija-nastavi-u-jednom-kruznom-tijeku 	Kazalište 
23.01.2011.	Arsenal Zadar	Plesna skupina „Floor shakers“ (plesna udruga „U pokretu“ IN FLUX) 	ŽUPANIJSKO NATJECANJE ZA POJEDINCE U BRAKDANCEU         Plesna skupina „Floor shakers“ (plesna udruga „u pokretu“ IN FLUX) je organizator, a gosti sudci Don Kiki, Entoni Radman i Mali Dinek (JBM CREW) . Kao glazbeni gost nastupio je i DJ Chill, jedan od napopularnijih hip hop DJ-eva na našem području. Na natjecanju su sudjelovali i natjecatelji iz Knina, a nastupile su i skupine „Show team“ (Knin) „21 street“(Bibinje), reper Pendrek iz Zagreba i OPTY  i 2IB . Natjecanje je održano po principu kup sistema, a natjecatelji su nastupili u tri kategorije pred brojnom publikom u Arsenalu.	http://www.zadarskilist.hr/clanci/25012011/u-zadru-napokon-sudenje-po-svim-standardima-b-boy-kulture	Ples (breakdance)
29.01.2011.	Studentski klub 'Božo Lerotić' Zadar	Šigureca	4. ZADARSKA GITARIJADA                                                                                                1. kvalifikacijski koncert 'JEZA IROKEZA'                                                               Nakon kraće stanke, unatoč financijskim problemima, te prošlogodišnje „hoćemo/nećemo imati finale gitarijade“ Udruga Šigureca je najavila nastavak natjecanja za demo bendove – Gitarijadu 2011. Prvi u nizu kvalifikacijskih koncerata „Jeza Irokeza“ održan je u subotu 29.01.2011. u Studentskom klubu „Božo Lerotić“.  Gosti su zagrebačka punk-folk-well-ness atrakcija, grupa „Brkovi“. Bendovi  na Jezi su Neon green, Tehnička greška, Black Orange Box, i Crassso De Odio. Pobjednik ovogodišnje Jeze irokeze je bend Neon green.	http://www.voxportal.hr/vijest/prvi-koncert--jeza-irokeza/3407.html             http://www.zadarskilist.hr/clanci/03022011/u-finalu-neon-green http://www.057info.hr/zabava/2011-01-31/neon-green-pobjednici-jeze-irokeze http://www.voxportal.hr/vijest/uskoro-demo-album-sa-sest-autorskih-pjesama/4210.html http://www.voxportal.hr/vijest/u-finalu-gitarijade-sedam-bendova/5546.html  	Glazba (koncert)
30.01.2011. 	prostorije Zadarskog  plesnog ansambla i Plesne  udruge "Gesta"	 organizatorica plesnih radionica u Zadru je Nina Lipotica	RADIONICA PET RITMOVA                                                                   Tradicija plesa ritmova krenula je s Manhattna  kad je koreografkinja Gabrielle Roth otkrila jednostavan ritam svog tijela i osmislila plesne radionice namijenjene svakom čovjeku. Voditeljica radionice je Zdenka Sajko, plesačica s desetogodišnjim stažem u pet plesnih ritmova.Radionice pet ritmova sve su češće u Zadru a tema ovog vikenda bit će moć bivanja u dvorani Zadarskog plesnog ansambla. Slijedeće radionice su najavljene 20.02., 17.04., 15.05. i 12.06.2011.	http://www.zadarskilist.hr/clanci/02022011/nakon-svijeta-plesna-metoda--5-ritmova-osvojila-i-zadar	Ples                            (plesna radionica)
04.02.2011.	Arsenal Zadar	Zadarski plesni ansambl	PREDSTAVA 'COLOUR' ZADARSKOG PLESNOG ANSAMBLA U ZADRU                                                                                                                 Zbog zatvaranja Kina Pobjede i projekta Artikultura sve više udruga odabire Arsenal kao lokaciju predstavljanja svog rada. 4. veljače Zadarski plesni ansambl izveo je predstavu suvremenog plesa pod nazivom „Colour“. Predstava je premijerno izvedena u svibnju prošle godine u Kinu Pobjeda a koreografiju video i kostimografiju potpisuje Stošija Zrinski. Predstava je nadahnuta elementima zemlje, vode, zraka i vatre.	http://www.ezadar.hr/clanak/colour-zadarskog-plesnog-ansambla-4-veljace-u-arsenalu http://plesnascena.hr/index.php?p=article&id=1243  	Predstava suvemenog plesa
10.02.2011.	Gradska knjižnica Biograd	ZAPIS	KNJIŽEVNA VEČER ZAPIS-a U BIOGRADU                                         Povodom Valentinova, dana zaljubljenih, biogradska knjižnica je upriličila uspješnu književnu večer. Gosti u Gradskoj knjižnici bili su članovi zadarske udruge Za Pis. Zadarski pisci predvođeni predsjednikom udruge Robertom Nezirovićem, predstavili su se u svom najboljem izdanju- piše Jelica Farkaš: Sa starijim, ali i najnovijim pjesmama i pričama, kojima je tema bila ljubav u svim njezinim oblicima, iskazana na najrazličitije načine. Zapis o Zapisovcima završimo stihom Ivana Habuša:                                 Nisam te tražio, samo sam te gledao, nisi me tražila, samo si me gledala…	http://www.ezadar.hr/clanak/zapis-veceras-u-gradskoj-knjiznici-biograd http://www.biogradnamoru.hr/novosti/grad-biograd/2011-02-08/knjizevna-vecer-povodom-dana-zaljubljenih-u-gradskoj-knjiznici-biograd 	Književnost
11.02. - 14.02.2011. 	crkva Sv. Lovre	organizator Udruga Kreativa i obrtnici s Poluotoka, cvjećarnica Natali i Fiorentino, galerija Anima, agencija Multiart i Forum te butika Paladium i vjenčanice ADA.	IZLOŽBA NEKA NAM LJUBAVLJU ZORI SVAKO JUTRO I USNE SVAKI DAN                                                                                                                              U prostorijama crkvice sv. Lovre 11. veljače otvorena je izložba prodajnog karaktera udruga „Multiart“ i „Kreativa“ pod pokroviteljstvom TZ Grada i MO Poluotok. Svoje su radove izložili Silvijana Dražović i Zoran Debelić.	http://www.ezadar.hr/clanak/ljubavna-izlozba-u-crkvici-sv-lovre	Svašta izložba?            (izložba slika, cvjetnih aranžmana, čestitki….)
